Track Title,ISRC,Writer Name,Writer Share %,Registration Status
When My Elites Surround,QZFZ22212090,Hawk Eye The Rapper,100,Registered
The Antidote,QZFZ22212086,Hawk Eye The Rapper,100,Registered
Illuminati,QZFZ22212084,Hawk Eye The Rapper,100,Registered
Delta Squad,QZFZ22212082,Hawk Eye The Rapper,100,Registered
Abreactions,QZFZ22212080,Hawk Eye The Rapper,100,Registered
Incantations,QZFZ42192650,Hawk Eye The Rapper,100,Registered
The Shadow Is Rising,QZDA62424853,Hawk Eye The Rapper,100,Registered
The Devil'S In The Details,QZWFN2366283,Hawk Eye The Rapper,100,Registered
Domestic Terrorist,QZDA62424848,Hawk Eye The Rapper,100,Registered
Down The Rabbit Hole,QZDA62424847,Hawk Eye The Rapper,100,Registered
Invokation,QZDA62424856,Hawk Eye The Rapper,100,Registered
Will You Listen?,,Hawk Eye,100,Registered
Soft Disclosure,OZFZ22212079,Hawk Eye The Rapper,100,Registered
Abreactions,OZFZ22212080,Hawk Eye The Rapper,100,Registered
Eyes Wide Open,OZFZ22212081,Hawk Eye The Rapper,100,Registered
Delta Squad,OZFZ22212082,Hawk Eye The Rapper,100,Registered
Implants,OZFZ22212083,Hawk Eye The Rapper,100,Registered
Illuminati,OZFZ22212084,Hawk Eye The Rapper,100,Registered
FEMA,OZFZ22212085,Hawk Eye The Rapper,100,Registered
The Antidote,OZFZ22212086,Hawk Eye The Rapper,100,Registered
Avalanche,OZFZ22212087,Hawk Eye The Rapper,100,Registered
Artificial Intelligence,OZFZ22212088,Hawk Eye The Rapper,100,Registered
Legion,OZFZ22212089,Hawk Eye The Rapper,100,Registered
When My Elites Surround,OZFZ22212090,Hawk Eye The Rapper,100,Registered
Reincarnated 2 Resist,OZFZ22212091,Hawk Eye The Rapper,100,Registered
Warning Shots,OZHN92001330,Hawk Eye The Rapper,100,Registered
Behold A Pale Horse,OZHN92001331,Hawk Eye The Rapper,100,Registered
Kamikaze,OZHN92001332,Hawk Eye The Rapper,100,Registered
Whistle Blower,OZHN92001333,Hawk Eye The Rapper,100,Registered
Superstitions,OZHN92001334,Hawk Eye The Rapper,100,Registered
Scripture,OZHN92001335,Hawk Eye The Rapper,100,Registered
Menace To Society,OZHN92001336,Hawk Eye The Rapper,100,Registered
Semi-Automatic,OZHN92001337,Hawk Eye The Rapper,100,Registered
Reverse This Curse,OZHN92001338,Hawk Eye The Rapper,100,Registered
K.T.,OZHN92001339,Hawk Eye The Rapper,100,Registered
The Story Celebrated Throughout Time,OZHN92001340,Hawk Eye The Rapper,100,Registered
Malicious,QZDA62408794,Hawk Eye The Rapper,100,Registered
Gang Shit,QZDA62408795,Hawk Eye The Rapper,100,Registered
The MotherFucking Problem,QZDA62408796,Hawk Eye The Rapper,100,Registered
I'm Him,QZDA62408797,Hawk Eye The Rapper,100,Registered
Return Of Kings,QZHNB2443344,Hawk Eye The Rapper,100,Registered
The Vow,QZK6G2540773,Hawk Eye The Rapper,100,Registered
Politicians (feat. Symba),QZZ762479215,Hawk Eye The Rapper,100,Registered
