Track Title,ISRC,Writer Names,Ownership Share %,Registration Status,Notes
The Antidote,QZK6L2223959,Hawk Eye The Rapper,100,Unregistered,Unmatched
Fema,QZK6L2223958,Hawk Eye The Rapper,100,Unregistered,Unmatched
Delta Squad,QZK6L2223956,Hawk Eye The Rapper,100,Unregistered,Unmatched
Eyes Wide Open,QZK6L2223955,Hawk Eye The Rapper,100,Unregistered,Unmatched
Abreactions,QZK6L2223954,Hawk Eye The Rapper,100,Unregistered,Unmatched
The Story Of Our Former Glory,QZK6N2262197,Hawk Eye The Rapper,100,Unregistered,Unmatched
Stay Real,QZK6N2262196,Hawk Eye The Rapper,100,Unregistered,Unmatched
Haunted,QZK6N2262191,Hawk Eye The Rapper,100,Unregistered,Unmatched
Shakur (Feat. Zenith The Queen),QZK6N2262185,Hawk Eye The Rapper,100,Unregistered,Unmatched
Swordfish,QZK6N2262183,Hawk Eye The Rapper,100,Unregistered,Unmatched
When My Elites Surround,QZFZ22212090,Hawk Eye The Rapper,100,Unregistered,
The Antidote,QZFZ22212086,Hawk Eye The Rapper,100,Unregistered,
Illuminati,QZFZ22212084,Hawk Eye The Rapper,100,Unregistered,
Delta Squad,QZFZ22212082,Hawk Eye The Rapper,100,Unregistered,
Abreactions,QZFZ22212080,Hawk Eye The Rapper,100,Unregistered,
Incantations,QZFZ42192650,Hawk Eye The Rapper,100,Unregistered,Unmatched
The Shadow Is Rising,QZDA62424853,Hawk Eye The Rapper,100,Unregistered,Unmatched
The Devil'S In The Details,QZWFN2366283,Hawk Eye The Rapper,100,Unregistered,Unmatched
Domestic Terrorist,QZDA62424848,Hawk Eye The Rapper,100,Unregistered,Unmatched
Down The Rabbit Hole,QZDA62424847,Hawk Eye The Rapper,100,Unregistered,Unmatched
Invokation,QZDA62424856,Hawk Eye The Rapper,100,Unregistered,Unmatched
Will You Listen?,,Hawk Eye,100,Unregistered,
Soft Disclosure,OZFZ22212079,Hawk Eye The Rapper,100,Unregistered,Unmatched
Abreactions,OZFZ22212080,Hawk Eye The Rapper,100,Unregistered,Unmatched
Eyes Wide Open,OZFZ22212081,Hawk Eye The Rapper,100,Unregistered,Unmatched
Delta Squad,OZFZ22212082,Hawk Eye The Rapper,100,Unregistered,Unmatched
Implants,OZFZ22212083,Hawk Eye The Rapper,100,Unregistered,Unmatched
Illuminati,OZFZ22212084,Hawk Eye The Rapper,100,Unregistered,Unmatched
FEMA,OZFZ22212085,Hawk Eye The Rapper,100,Unregistered,Unmatched
The Antidote,OZFZ22212086,Hawk Eye The Rapper,100,Unregistered,Unmatched
Avalanche,OZFZ22212087,Hawk Eye The Rapper,100,Unregistered,Unmatched
Artificial Intelligence,OZFZ22212088,Hawk Eye The Rapper,100,Unregistered,Unmatched
Legion,OZFZ22212089,Hawk Eye The Rapper,100,Unregistered,Unmatched
When My Elites Surround,OZFZ22212090,Hawk Eye The Rapper,100,Unregistered,Unmatched
Reincarnated 2 Resist,OZFZ22212091,Hawk Eye The Rapper,100,Unregistered,Unmatched
Warning Shots,OZHN92001330,Hawk Eye The Rapper,100,Unregistered,Unmatched
Behold A Pale Horse,OZHN92001331,Hawk Eye The Rapper,100,Unregistered,Unmatched
Kamikaze,OZHN92001332,Hawk Eye The Rapper,100,Unregistered,Unmatched
Whistle Blower,OZHN92001333,Hawk Eye The Rapper,100,Unregistered,Unmatched
Superstitions,OZHN92001334,Hawk Eye The Rapper,100,Unregistered,Unmatched
Scripture,OZHN92001335,Hawk Eye The Rapper,100,Unregistered,Unmatched
Menace To Society,OZHN92001336,Hawk Eye The Rapper,100,Unregistered,Unmatched
Semi-Automatic,OZHN92001337,Hawk Eye The Rapper,100,Unregistered,Unmatched
Reverse This Curse,OZHN92001338,Hawk Eye The Rapper,100,Unregistered,Unmatched
K.T.,OZHN92001339,Hawk Eye The Rapper,100,Unregistered,Unmatched
The Story Celebrated Throughout Time,OZHN92001340,Hawk Eye The Rapper,100,Unregistered,Unmatched
Malicious,QZDA62408794,Hawk Eye The Rapper,100,Unregistered,Unmatched
Gang Shit,QZDA62408795,Hawk Eye The Rapper,100,Unregistered,Unmatched
The MotherFucking Problem,QZDA62408796,Hawk Eye The Rapper,100,Unregistered,Unmatched
I'm Him,QZDA62408797,Hawk Eye The Rapper,100,Unregistered,Unmatched
Return Of Kings,QZHNB2443344,Hawk Eye The Rapper,100,Unregistered,
The Vow,QZK6G2540773,Hawk Eye The Rapper,100,Unregistered,
Politicians (feat. Symba),QZZ762479215,Hawk Eye The Rapper,100,Unregistered,Unmatched
